cluster,Id
6.00E+00,1
6.00E+00,2
6.00E+00,3
6.00E+00,4
6.00E+00,5
6.00E+00,6
6.00E+00,7
6.00E+00,8
6.00E+00,9
6.00E+00,10
6.00E+00,11
6.00E+00,12
6.00E+00,13
6.00E+00,14
6.00E+00,15
6.00E+00,16
6.00E+00,17
6.00E+00,18
6.00E+00,19
6.00E+00,20
6.00E+00,21
6.00E+00,22
6.00E+00,23
6.00E+00,24
6.00E+00,25
6.00E+00,26
6.00E+00,27
6.00E+00,28
6.00E+00,29
6.00E+00,30
6.00E+00,31
6.00E+00,32
6.00E+00,33
6.00E+00,34
6.00E+00,35
6.00E+00,36
6.00E+00,37
6.00E+00,38
6.00E+00,39
6.00E+00,40
6.00E+00,41
6.00E+00,42
6.00E+00,43
6.00E+00,44
6.00E+00,45
6.00E+00,46
6.00E+00,47
6.00E+00,48
6.00E+00,49
6.00E+00,50
6.00E+00,51
6.00E+00,52
6.00E+00,53
6.00E+00,54
6.00E+00,55
6.00E+00,56
6.00E+00,57
6.00E+00,58
6.00E+00,59
6.00E+00,60
6.00E+00,61
6.00E+00,62
6.00E+00,63
6.00E+00,64
6.00E+00,65
6.00E+00,66
6.00E+00,67
6.00E+00,68
6.00E+00,69
6.00E+00,70
6.00E+00,71
6.00E+00,72
6.00E+00,73
6.00E+00,74
6.00E+00,75
6.00E+00,76
6.00E+00,77
6.00E+00,78
6.00E+00,79
6.00E+00,80
6.00E+00,81
6.00E+00,82
6.00E+00,83
6.00E+00,84
6.00E+00,85
6.00E+00,86
6.00E+00,87
6.00E+00,88
6.00E+00,89
6.00E+00,90
6.00E+00,91
6.00E+00,92
6.00E+00,93
6.00E+00,94
6.00E+00,95
6.00E+00,96
6.00E+00,97
6.00E+00,98
6.00E+00,99
6.00E+00,100
6.00E+00,101
6.00E+00,102
6.00E+00,103
6.00E+00,104
6.00E+00,105
6.00E+00,106
6.00E+00,107
6.00E+00,108
6.00E+00,109
6.00E+00,110
6.00E+00,111
6.00E+00,112
6.00E+00,113
6.00E+00,114
6.00E+00,115
6.00E+00,116
6.00E+00,117
6.00E+00,118
6.00E+00,119
6.00E+00,120
6.00E+00,121
6.00E+00,122
6.00E+00,123
6.00E+00,124
6.00E+00,125
6.00E+00,126
6.00E+00,127
6.00E+00,128
6.00E+00,129
6.00E+00,130
6.00E+00,131
6.00E+00,132
6.00E+00,133
6.00E+00,134
6.00E+00,135
6.00E+00,136
6.00E+00,137
6.00E+00,138
4.00E+00,139
4.00E+00,140
4.00E+00,141
4.00E+00,142
4.00E+00,143
4.00E+00,144
4.00E+00,145
4.00E+00,146
4.00E+00,147
4.00E+00,148
4.00E+00,149
4.00E+00,150
4.00E+00,151
4.00E+00,152
6.00E+00,153
6.00E+00,154
4.00E+00,155
4.00E+00,156
4.00E+00,157
4.00E+00,158
4.00E+00,159
4.00E+00,160
4.00E+00,161
4.00E+00,162
4.00E+00,163
4.00E+00,164
4.00E+00,165
4.00E+00,166
4.00E+00,167
4.00E+00,168
6.00E+00,169
4.00E+00,170
6.00E+00,171
6.00E+00,172
6.00E+00,173
4.00E+00,174
0.00E+00,175
4.00E+00,176
6.00E+00,177
6.00E+00,178
0.00E+00,179
0.00E+00,180
0.00E+00,181
0.00E+00,182
0.00E+00,183
5.00E+00,184
0.00E+00,185
5.00E+00,186
5.00E+00,187
5.00E+00,188
5.00E+00,189
5.00E+00,190
5.00E+00,191
5.00E+00,192
5.00E+00,193
5.00E+00,194
5.00E+00,195
5.00E+00,196
5.00E+00,197
5.00E+00,198
5.00E+00,199
5.00E+00,200
5.00E+00,201
5.00E+00,202
5.00E+00,203
5.00E+00,204
5.00E+00,205
5.00E+00,206
5.00E+00,207
5.00E+00,208
5.00E+00,209
5.00E+00,210
5.00E+00,211
5.00E+00,212
5.00E+00,213
5.00E+00,214
5.00E+00,215
5.00E+00,216
5.00E+00,217
5.00E+00,218
5.00E+00,219
5.00E+00,220
5.00E+00,221
5.00E+00,222
5.00E+00,223
5.00E+00,224
5.00E+00,225
5.00E+00,226
5.00E+00,227
5.00E+00,228
5.00E+00,229
5.00E+00,230
5.00E+00,231
5.00E+00,232
5.00E+00,233
5.00E+00,234
5.00E+00,235
5.00E+00,236
5.00E+00,237
5.00E+00,238
5.00E+00,239
5.00E+00,240
5.00E+00,241
5.00E+00,242
5.00E+00,243
5.00E+00,244
5.00E+00,245
5.00E+00,246
5.00E+00,247
5.00E+00,248
5.00E+00,249
5.00E+00,250
5.00E+00,251
5.00E+00,252
5.00E+00,253
5.00E+00,254
5.00E+00,255
5.00E+00,256
5.00E+00,257
5.00E+00,258
5.00E+00,259
5.00E+00,260
5.00E+00,261
5.00E+00,262
5.00E+00,263
5.00E+00,264
5.00E+00,265
5.00E+00,266
5.00E+00,267
5.00E+00,268
5.00E+00,269
5.00E+00,270
5.00E+00,271
5.00E+00,272
5.00E+00,273
5.00E+00,274
5.00E+00,275
5.00E+00,276
5.00E+00,277
5.00E+00,278
5.00E+00,279
5.00E+00,280
5.00E+00,281
5.00E+00,282
5.00E+00,283
5.00E+00,284
5.00E+00,285
5.00E+00,286
5.00E+00,287
5.00E+00,288
5.00E+00,289
5.00E+00,290
5.00E+00,291
5.00E+00,292
5.00E+00,293
5.00E+00,294
5.00E+00,295
5.00E+00,296
5.00E+00,297
5.00E+00,298
5.00E+00,299
5.00E+00,300
5.00E+00,301
5.00E+00,302
5.00E+00,303
5.00E+00,304
5.00E+00,305
5.00E+00,306
5.00E+00,307
5.00E+00,308
5.00E+00,309
5.00E+00,310
5.00E+00,311
5.00E+00,312
5.00E+00,313
5.00E+00,314
5.00E+00,315
5.00E+00,316
5.00E+00,317
5.00E+00,318
5.00E+00,319
5.00E+00,320
5.00E+00,321
5.00E+00,322
5.00E+00,323
5.00E+00,324
5.00E+00,325
5.00E+00,326
5.00E+00,327
5.00E+00,328
5.00E+00,329
5.00E+00,330
5.00E+00,331
5.00E+00,332
5.00E+00,333
5.00E+00,334
5.00E+00,335
5.00E+00,336
5.00E+00,337
5.00E+00,338
5.00E+00,339
0.00E+00,340
0.00E+00,341
0.00E+00,342
0.00E+00,343
0.00E+00,344
0.00E+00,345
0.00E+00,346
0.00E+00,347
0.00E+00,348
0.00E+00,349
0.00E+00,350
0.00E+00,351
0.00E+00,352
0.00E+00,353
0.00E+00,354
0.00E+00,355
0.00E+00,356
0.00E+00,357
0.00E+00,358
0.00E+00,359
0.00E+00,360
0.00E+00,361
0.00E+00,362
0.00E+00,363
0.00E+00,364
0.00E+00,365
0.00E+00,366
0.00E+00,367
0.00E+00,368
0.00E+00,369
0.00E+00,370
0.00E+00,371
0.00E+00,372
0.00E+00,373
0.00E+00,374
0.00E+00,375
0.00E+00,376
0.00E+00,377
0.00E+00,378
0.00E+00,379
0.00E+00,380
0.00E+00,381
0.00E+00,382
0.00E+00,383
0.00E+00,384
0.00E+00,385
0.00E+00,386
0.00E+00,387
0.00E+00,388
0.00E+00,389
0.00E+00,390
4.00E+00,391
0.00E+00,392
4.00E+00,393
0.00E+00,394
0.00E+00,395
0.00E+00,396
0.00E+00,397
0.00E+00,398
0.00E+00,399
0.00E+00,400
0.00E+00,401
0.00E+00,402
0.00E+00,403
4.00E+00,404
4.00E+00,405
4.00E+00,406
4.00E+00,407
4.00E+00,408
4.00E+00,409
4.00E+00,410
4.00E+00,411
4.00E+00,412
4.00E+00,413
4.00E+00,414
4.00E+00,415
4.00E+00,416
4.00E+00,417
4.00E+00,418
4.00E+00,419
4.00E+00,420
4.00E+00,421
4.00E+00,422
4.00E+00,423
4.00E+00,424
4.00E+00,425
4.00E+00,426
4.00E+00,427
4.00E+00,428
4.00E+00,429
4.00E+00,430
4.00E+00,431
4.00E+00,432
4.00E+00,433
4.00E+00,434
4.00E+00,435
4.00E+00,436
4.00E+00,437
4.00E+00,438
4.00E+00,439
4.00E+00,440
4.00E+00,441
4.00E+00,442
4.00E+00,443
4.00E+00,444
4.00E+00,445
4.00E+00,446
4.00E+00,447
4.00E+00,448
4.00E+00,449
4.00E+00,450
4.00E+00,451
4.00E+00,452
4.00E+00,453
4.00E+00,454
4.00E+00,455
4.00E+00,456
4.00E+00,457
4.00E+00,458
4.00E+00,459
4.00E+00,460
4.00E+00,461
4.00E+00,462
4.00E+00,463
4.00E+00,464
4.00E+00,465
4.00E+00,466
4.00E+00,467
4.00E+00,468
4.00E+00,469
4.00E+00,470
3.00E+00,471
3.00E+00,472
3.00E+00,473
3.00E+00,474
3.00E+00,475
3.00E+00,476
3.00E+00,477
3.00E+00,478
3.00E+00,479
3.00E+00,480
3.00E+00,481
3.00E+00,482
3.00E+00,483
3.00E+00,484
3.00E+00,485
3.00E+00,486
3.00E+00,487
3.00E+00,488
3.00E+00,489
3.00E+00,490
3.00E+00,491
3.00E+00,492
3.00E+00,493
3.00E+00,494
3.00E+00,495
3.00E+00,496
3.00E+00,497
3.00E+00,498
3.00E+00,499
3.00E+00,500
3.00E+00,501
3.00E+00,502
3.00E+00,503
3.00E+00,504
3.00E+00,505
3.00E+00,506
3.00E+00,507
3.00E+00,508
3.00E+00,509
3.00E+00,510
3.00E+00,511
4.00E+00,512
8.00E+00,513
8.00E+00,514
8.00E+00,515
4.00E+00,516
4.00E+00,517
4.00E+00,518
4.00E+00,519
4.00E+00,520
4.00E+00,521
4.00E+00,522
4.00E+00,523
4.00E+00,524
4.00E+00,525
4.00E+00,526
4.00E+00,527
4.00E+00,528
4.00E+00,529
4.00E+00,530
4.00E+00,531
4.00E+00,532
4.00E+00,533
4.00E+00,534
4.00E+00,535
4.00E+00,536
4.00E+00,537
4.00E+00,538
4.00E+00,539
4.00E+00,540
4.00E+00,541
4.00E+00,542
4.00E+00,543
4.00E+00,544
4.00E+00,545
4.00E+00,546
4.00E+00,547
4.00E+00,548
4.00E+00,549
4.00E+00,550
4.00E+00,551
4.00E+00,552
4.00E+00,553
4.00E+00,554
4.00E+00,555
4.00E+00,556
4.00E+00,557
4.00E+00,558
4.00E+00,559
4.00E+00,560
4.00E+00,561
4.00E+00,562
4.00E+00,563
4.00E+00,564
4.00E+00,565
4.00E+00,566
4.00E+00,567
4.00E+00,568
4.00E+00,569
4.00E+00,570
4.00E+00,571
4.00E+00,572
4.00E+00,573
4.00E+00,574
4.00E+00,575
4.00E+00,576
0.00E+00,577
4.00E+00,578
4.00E+00,579
4.00E+00,580
4.00E+00,581
4.00E+00,582
4.00E+00,583
4.00E+00,584
4.00E+00,585
4.00E+00,586
4.00E+00,587
4.00E+00,588
4.00E+00,589
4.00E+00,590
4.00E+00,591
4.00E+00,592
4.00E+00,593
4.00E+00,594
4.00E+00,595
4.00E+00,596
4.00E+00,597
4.00E+00,598
4.00E+00,599
4.00E+00,600
4.00E+00,601
4.00E+00,602
4.00E+00,603
4.00E+00,604
4.00E+00,605
0.00E+00,606
0.00E+00,607
4.00E+00,608
4.00E+00,609
4.00E+00,610
0.00E+00,611
0.00E+00,612
0.00E+00,613
0.00E+00,614
0.00E+00,615
0.00E+00,616
0.00E+00,617
0.00E+00,618
0.00E+00,619
0.00E+00,620
0.00E+00,621
0.00E+00,622
0.00E+00,623
0.00E+00,624
0.00E+00,625
0.00E+00,626
0.00E+00,627
0.00E+00,628
0.00E+00,629
0.00E+00,630
0.00E+00,631
0.00E+00,632
0.00E+00,633
0.00E+00,634
0.00E+00,635
0.00E+00,636
0.00E+00,637
0.00E+00,638
0.00E+00,639
0.00E+00,640
0.00E+00,641
0.00E+00,642
0.00E+00,643
0.00E+00,644
0.00E+00,645
0.00E+00,646
0.00E+00,647
0.00E+00,648
0.00E+00,649
0.00E+00,650
0.00E+00,651
0.00E+00,652
0.00E+00,653
0.00E+00,654
0.00E+00,655
0.00E+00,656
0.00E+00,657
0.00E+00,658
0.00E+00,659
0.00E+00,660
0.00E+00,661
0.00E+00,662
0.00E+00,663
0.00E+00,664
0.00E+00,665
0.00E+00,666
0.00E+00,667
0.00E+00,668
0.00E+00,669
0.00E+00,670
0.00E+00,671
0.00E+00,672
0.00E+00,673
0.00E+00,674
0.00E+00,675
0.00E+00,676
0.00E+00,677
0.00E+00,678
0.00E+00,679
0.00E+00,680
0.00E+00,681
0.00E+00,682
0.00E+00,683
0.00E+00,684
0.00E+00,685
0.00E+00,686
0.00E+00,687
0.00E+00,688
0.00E+00,689
0.00E+00,690
0.00E+00,691
0.00E+00,692
5.00E+00,693
5.00E+00,694
5.00E+00,695
5.00E+00,696
5.00E+00,697
5.00E+00,698
5.00E+00,699
5.00E+00,700
5.00E+00,701
0.00E+00,702
5.00E+00,703
5.00E+00,704
5.00E+00,705
5.00E+00,706
5.00E+00,707
5.00E+00,708
5.00E+00,709
0.00E+00,710
0.00E+00,711
5.00E+00,712
5.00E+00,713
5.00E+00,714
5.00E+00,715
0.00E+00,716
0.00E+00,717
0.00E+00,718
0.00E+00,719
5.00E+00,720
5.00E+00,721
5.00E+00,722
5.00E+00,723
5.00E+00,724
5.00E+00,725
5.00E+00,726
5.00E+00,727
5.00E+00,728
5.00E+00,729
5.00E+00,730
5.00E+00,731
5.00E+00,732
5.00E+00,733
5.00E+00,734
5.00E+00,735
5.00E+00,736
5.00E+00,737
5.00E+00,738
5.00E+00,739
5.00E+00,740
5.00E+00,741
5.00E+00,742
5.00E+00,743
5.00E+00,744
5.00E+00,745
5.00E+00,746
5.00E+00,747
5.00E+00,748
5.00E+00,749
5.00E+00,750
5.00E+00,751
5.00E+00,752
5.00E+00,753
5.00E+00,754
5.00E+00,755
5.00E+00,756
5.00E+00,757
5.00E+00,758
5.00E+00,759
5.00E+00,760
5.00E+00,761
5.00E+00,762
5.00E+00,763
5.00E+00,764
5.00E+00,765
5.00E+00,766
5.00E+00,767
5.00E+00,768
5.00E+00,769
5.00E+00,770
5.00E+00,771
5.00E+00,772
5.00E+00,773
5.00E+00,774
5.00E+00,775
5.00E+00,776
5.00E+00,777
5.00E+00,778
5.00E+00,779
5.00E+00,780
5.00E+00,781
5.00E+00,782
5.00E+00,783
5.00E+00,784
5.00E+00,785
5.00E+00,786
5.00E+00,787
5.00E+00,788
5.00E+00,789
5.00E+00,790
5.00E+00,791
5.00E+00,792
5.00E+00,793
5.00E+00,794
5.00E+00,795
5.00E+00,796
5.00E+00,797
5.00E+00,798
5.00E+00,799
5.00E+00,800
5.00E+00,801
5.00E+00,802
5.00E+00,803
5.00E+00,804
5.00E+00,805
5.00E+00,806
5.00E+00,807
5.00E+00,808
0.00E+00,809
2.00E+00,810
5.00E+00,811
0.00E+00,812
0.00E+00,813
